instance;exact_val;exact_time;apx_val;apx_time
../../../allInst/m15Q30s333.tsp.ccpdp;4885.97;1493;4885.97;55
../../../allInst/m15Q30s444.tsp.ccpdp;4884.39;1885;4884.39;84
../../../allInst/m15Q30s555.tsp.ccpdp;4494.07;468;4713.07;75
../../../allInst/m15Q30s666.tsp.ccpdp;4900.73;648;5059.4;82
../../../allInst/m15Q30s777.tsp.ccpdp;4596.98;626;5598.52;71
../../../allInst/m15Q30s888.tsp.ccpdp;4497.12;757;4497.12;70
../../../allInst/m15Q30s999.tsp.ccpdp;4410.83;998;4639.42;87
../../../allInst/m15Q500s000.tsp.ccpdp;4633.82;850;5027.66;79
../../../allInst/m15Q500s111.tsp.ccpdp;4531.93;428;4531.93;69
../../../allInst/m15Q500s222.tsp.ccpdp;4392.66;377;4392.66;53
../../../allInst/m15Q500s333.tsp.ccpdp;4885.97;1504;4885.97;54
../../../allInst/m15Q500s444.tsp.ccpdp;4884.39;1882;4884.39;84
../../../allInst/m15Q500s555.tsp.ccpdp;4494.07;497;4713.07;75
../../../allInst/m15Q500s666.tsp.ccpdp;4900.73;615;5059.4;83
../../../allInst/m15Q500s777.tsp.ccpdp;4596.98;604;5598.52;72
../../../allInst/m15Q500s888.tsp.ccpdp;4497.12;882;4497.12;70
../../../allInst/m15Q500s999.tsp.ccpdp;4410.83;1074;4639.42;85
../../../allInst/m15Q5s000.tsp.ccpdp;4633.82;904;5027.66;78
../../../allInst/m15Q5s111.tsp.ccpdp;4531.93;428;4531.93;68
../../../allInst/m15Q5s222.tsp.ccpdp;4392.66;406;4392.66;52
../../../allInst/m15Q5s333.tsp.ccpdp;4885.97;1642;4885.97;56
../../../allInst/m15Q5s444.tsp.ccpdp;4884.39;1920;4884.39;86
../../../allInst/m15Q5s555.tsp.ccpdp;4494.07;484;4713.07;74
../../../allInst/m15Q5s666.tsp.ccpdp;4900.73;642;5059.4;80
../../../allInst/m15Q5s777.tsp.ccpdp;4596.98;627;5598.52;71
../../../allInst/m15Q5s888.tsp.ccpdp;4497.12;751;4497.12;69
../../../allInst/m15Q5s999.tsp.ccpdp;4410.83;988;4639.42;87
../../../allInst/m5Q10s000.tsp.ccpdp;3359.14;14;3359.14;4
../../../allInst/m5Q10s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q10s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q10s333.tsp.ccpdp;3451.62;16;3451.62;6
../../../allInst/m5Q10s444.tsp.ccpdp;2738.48;15;2748.33;5
../../../allInst/m5Q10s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q10s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q10s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q10s888.tsp.ccpdp;2987.25;10;2987.25;5
../../../allInst/m5Q10s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q15s000.tsp.ccpdp;3359.14;14;3359.14;4
../../../allInst/m5Q15s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q15s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q15s333.tsp.ccpdp;3451.62;12;3451.62;6
../../../allInst/m5Q15s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q15s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q15s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q15s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q15s888.tsp.ccpdp;2987.25;9;2987.25;5
../../../allInst/m5Q15s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q20s000.tsp.ccpdp;3359.14;19;3359.14;7
../../../allInst/m5Q20s111.tsp.ccpdp;2928.64;15;2928.64;4
../../../allInst/m5Q20s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q20s333.tsp.ccpdp;3451.62;13;3451.62;6
../../../allInst/m5Q20s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q20s555.tsp.ccpdp;2850.81;13;2850.81;7
../../../allInst/m5Q20s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q20s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q20s888.tsp.ccpdp;2987.25;9;2987.25;5
../../../allInst/m5Q20s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q25s000.tsp.ccpdp;3359.14;15;3359.14;5
../../../allInst/m5Q25s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q25s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q25s333.tsp.ccpdp;3451.62;12;3451.62;6
../../../allInst/m5Q25s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q25s555.tsp.ccpdp;2850.81;13;2850.81;6
