instance;num_vertices;relaxed_val;relaxed_time;survive_net_val;survive_net_time;gomory_hu_val;gomory_hu_time;perfect_matching_val;perfect_matching_time;short_cutting_val;short_cutting_time
../../../testInst/m15Q10s333.tsp.ccpdp;32;3805.27;1;4885.97;6;0;0;4885.97;0;5056.92;0
../../../testInst/m15Q10s444.tsp.ccpdp;32;3323.18;2;4884.39;11;0;0;4884.39;0;5122.97;0
../../../testInst/m15Q10s555.tsp.ccpdp;32;3366.58;1;4937.19;7;0;0;5644.75;0;4506.29;0
../../../testInst/m15Q10s666.tsp.ccpdp;32;3429;1;5368.6;9;0;0;5868.93;0;5449.31;0
../../../testInst/m15Q10s777.tsp.ccpdp;32;3455.96;1;5994.12;7;0;0;7165.53;0;4838.48;0
../../../testInst/m15Q10s888.tsp.ccpdp;32;3652.7;1;4497.12;7;0;0;4497.12;0;4497.12;0
../../../testInst/m15Q10s999.tsp.ccpdp;32;3361.27;1;5129.77;9;0;0;5812.19;0;4585.56;0
../../../testInst/m15Q15s000.tsp.ccpdp;32;3751.9;1;5379.19;8;0;0;5967.05;0;5056.3;0
../../../testInst/m15Q15s111.tsp.ccpdp;32;3845.63;1;4531.93;8;0;0;4531.93;0;4739.6;0
../../../testInst/m15Q15s222.tsp.ccpdp;32;3619.62;1;4392.66;6;0;0;4392.66;0;4392.66;0
../../../testInst/m15Q15s333.tsp.ccpdp;32;3805.27;1;4885.97;5;0;0;4885.97;0;5056.92;0
../../../testInst/m15Q15s444.tsp.ccpdp;32;3323.18;1;4884.39;11;0;0;4884.39;0;5122.97;0
../../../testInst/m15Q15s555.tsp.ccpdp;32;3366.58;1;4937.19;7;0;0;5644.75;0;4506.29;0
../../../testInst/m15Q15s666.tsp.ccpdp;32;3429;1;5368.6;9;0;0;5868.93;0;5449.31;0
../../../testInst/m15Q15s777.tsp.ccpdp;32;3455.96;1;5994.12;7;0;0;7165.53;0;4838.48;0
../../../testInst/m15Q15s888.tsp.ccpdp;32;3652.7;1;4497.12;7;0;0;4497.12;0;4497.12;0
../../../testInst/m15Q15s999.tsp.ccpdp;32;3361.27;1;5129.77;9;0;0;5812.19;0;4585.56;0
../../../testInst/m15Q20s000.tsp.ccpdp;32;3751.9;1;5379.19;8;0;0;5967.05;0;5056.3;0
../../../testInst/m15Q20s111.tsp.ccpdp;32;3845.63;2;4531.93;8;0;0;4531.93;0;4739.6;0
../../../testInst/m15Q20s222.tsp.ccpdp;32;3619.62;1;4392.66;6;0;0;4392.66;0;4392.66;0
../../../testInst/m15Q20s333.tsp.ccpdp;32;3805.27;1;4885.97;6;0;0;4885.97;0;5056.92;0
../../../testInst/m15Q20s444.tsp.ccpdp;32;3323.18;1;4884.39;9;0;0;4884.39;0;5122.97;0
../../../testInst/m15Q20s555.tsp.ccpdp;32;3366.58;1;4937.19;7;0;0;5644.75;0;4506.29;0
../../../testInst/m15Q20s666.tsp.ccpdp;32;3429;1;5368.6;9;0;0;5868.93;0;5449.31;0
../../../testInst/m15Q20s777.tsp.ccpdp;32;3455.96;1;5994.12;8;0;0;7165.53;0;4838.48;0
../../../testInst/m15Q20s888.tsp.ccpdp;32;3652.7;1;4497.12;7;0;0;4497.12;0;4497.12;0
../../../testInst/m15Q20s999.tsp.ccpdp;32;3361.27;1;5129.77;9;0;0;5812.19;0;4585.56;0
../../../testInst/m15Q25s000.tsp.ccpdp;32;3751.9;1;5379.19;8;0;0;5967.05;0;5056.3;0
../../../testInst/m15Q25s111.tsp.ccpdp;32;3845.63;1;4531.93;7;0;0;4531.93;0;4739.6;0
../../../testInst/m15Q25s222.tsp.ccpdp;32;3619.62;1;4392.66;5;0;0;4392.66;0;4392.66;0
../../../testInst/m15Q25s333.tsp.ccpdp;32;3805.27;1;4885.97;6;0;0;4885.97;0;5056.92;0
../../../testInst/m15Q25s444.tsp.ccpdp;32;3323.18;1;4884.39;9;0;0;4884.39;0;5122.97;0
../../../testInst/m15Q25s555.tsp.ccpdp;32;3366.58;1;4937.19;7;0;0;5644.75;0;4506.29;0
../../../testInst/m15Q25s666.tsp.ccpdp;32;3429;1;5368.6;9;0;0;5868.93;0;5449.31;0
../../../testInst/m15Q25s777.tsp.ccpdp;32;3455.96;1;5994.12;7;0;0;7165.53;0;4838.48;0
../../../testInst/m15Q25s888.tsp.ccpdp;32;3652.7;1;4497.12;7;0;0;4497.12;0;4497.12;0
../../../testInst/m15Q25s999.tsp.ccpdp;32;3361.27;1;5129.77;9;0;0;5812.19;0;4585.56;0
../../../testInst/m15Q30s000.tsp.ccpdp;32;3751.9;1;5379.19;8;0;0;5967.05;0;5056.3;0
../../../testInst/m15Q30s111.tsp.ccpdp;32;3845.63;1;4531.93;7;0;0;4531.93;0;4739.6;0
../../../testInst/m15Q30s222.tsp.ccpdp;32;3619.62;3;4392.66;5;0;0;4392.66;0;4392.66;0
../../../testInst/m15Q30s333.tsp.ccpdp;32;3805.27;1;4885.97;6;0;0;4885.97;0;5056.92;0
../../../testInst/m15Q30s444.tsp.ccpdp;32;3323.18;1;4884.39;9;0;0;4884.39;0;5122.97;0
../../../testInst/m15Q30s555.tsp.ccpdp;32;3366.58;1;4937.19;7;0;0;5644.75;0;4506.29;0
../../../testInst/m15Q30s666.tsp.ccpdp;32;3429;1;5368.6;9;0;0;5868.93;0;5449.31;0
../../../testInst/m15Q30s777.tsp.ccpdp;32;3455.96;1;5994.12;7;0;0;7165.53;0;4838.48;0
../../../testInst/m15Q30s888.tsp.ccpdp;32;3652.7;1;4497.12;7;0;0;4497.12;0;4497.12;0
../../../testInst/m15Q30s999.tsp.ccpdp;32;3361.27;1;5129.77;9;0;0;5812.19;0;4585.56;0
../../../testInst/m15Q500s000.tsp.ccpdp;32;3751.9;1;5379.19;8;0;0;5967.05;0;5056.3;0
../../../testInst/m15Q500s111.tsp.ccpdp;32;3845.63;1;4531.93;7;0;0;4531.93;0;4739.6;0
../../../testInst/m15Q500s222.tsp.ccpdp;32;3619.62;1;4392.66;6;0;0;4392.66;0;4392.66;0
../../../testInst/m15Q500s333.tsp.ccpdp;32;3805.27;1;4885.97;6;0;0;4885.97;0;5056.92;0
../../../testInst/m15Q500s444.tsp.ccpdp;32;3323.18;1;4884.39;9;0;0;4884.39;0;5122.97;0
../../../testInst/m15Q500s555.tsp.ccpdp;32;3366.58;1;4937.19;7;0;0;5644.75;0;4506.29;0
../../../testInst/m15Q500s666.tsp.ccpdp;32;3429;1;5368.6;9;0;0;5868.93;0;5449.31;0
../../../testInst/m15Q500s777.tsp.ccpdp;32;3455.96;1;5994.12;7;0;0;7165.53;0;4838.48;0
../../../testInst/m15Q500s888.tsp.ccpdp;32;3652.7;1;4497.12;7;0;0;4497.12;0;4497.12;0
../../../testInst/m15Q500s999.tsp.ccpdp;32;3361.27;1;5129.77;9;0;0;5812.19;0;4585.56;0
../../../testInst/m15Q5s000.tsp.ccpdp;32;3751.9;2;5379.19;9;0;0;5967.05;0;5056.3;0
../../../testInst/m15Q5s111.tsp.ccpdp;32;3845.63;1;4531.93;7;0;0;4531.93;0;4739.6;0
../../../testInst/m15Q5s222.tsp.ccpdp;32;3619.62;1;4392.66;6;0;0;4392.66;0;4392.66;0
../../../testInst/m15Q5s333.tsp.ccpdp;32;3805.27;3;4885.97;7;0;0;4885.97;0;5056.92;0
../../../testInst/m15Q5s444.tsp.ccpdp;32;3323.18;1;4884.39;9;0;0;4884.39;0;5122.97;0
../../../testInst/m15Q5s555.tsp.ccpdp;32;3366.58;1;4937.19;8;0;0;5644.75;0;4506.29;0
../../../testInst/m15Q5s666.tsp.ccpdp;32;3429;1;5368.6;9;0;0;5868.93;0;5449.31;0
../../../testInst/m15Q5s777.tsp.ccpdp;32;3455.96;1;5994.12;7;0;0;7165.53;0;4838.48;0
../../../testInst/m15Q5s888.tsp.ccpdp;32;3652.7;1;4497.12;7;0;0;4497.12;0;4497.12;0
../../../testInst/m15Q5s999.tsp.ccpdp;32;3361.27;1;5129.77;9;0;0;5812.19;0;4585.56;0
../../../testInst/m5Q10s000.tsp.ccpdp;12;2560.75;0;4721.4;2;0;0;5781.62;0;3359.14;0
../../../testInst/m5Q10s111.tsp.ccpdp;12;2373.29;0;2928.64;1;0;0;2928.64;0;3082.92;0
../../../testInst/m5Q10s222.tsp.ccpdp;12;1637.83;0;2909.4;1;0;0;2909.4;0;2950.22;0
../../../testInst/m5Q10s333.tsp.ccpdp;12;2982.57;0;3451.62;1;0;0;3451.62;0;3451.62;0
../../../testInst/m5Q10s444.tsp.ccpdp;12;1771.58;0;3483.07;1;0;0;4265.93;0;2950.62;0
../../../testInst/m5Q10s555.tsp.ccpdp;12;1911.49;0;2850.81;2;0;0;2850.81;0;2850.81;0
../../../testInst/m5Q10s666.tsp.ccpdp;12;2368.97;0;3702.85;1;0;0;3702.85;0;3749.49;0
../../../testInst/m5Q10s777.tsp.ccpdp;12;3172.79;0;3396.92;1;0;0;3396.92;0;3396.92;0
../../../testInst/m5Q10s888.tsp.ccpdp;12;2000.49;0;2987.25;1;0;0;2987.25;0;2987.25;0
../../../testInst/m5Q10s999.tsp.ccpdp;12;2459.56;0;3045.85;1;0;0;3045.85;0;3045.85;0
../../../testInst/m5Q15s000.tsp.ccpdp;12;2560.75;0;4721.4;1;0;0;5781.62;0;3359.14;0
../../../testInst/m5Q15s111.tsp.ccpdp;12;2373.29;0;2928.64;1;0;0;2928.64;0;3082.92;0
../../../testInst/m5Q15s222.tsp.ccpdp;12;1637.83;0;2909.4;1;0;0;2909.4;0;2950.22;0
../../../testInst/m5Q15s333.tsp.ccpdp;12;2982.57;0;3451.62;1;0;0;3451.62;0;3451.62;0
../../../testInst/m5Q15s444.tsp.ccpdp;12;1771.58;0;3483.07;1;0;0;4265.93;0;2950.62;0
../../../testInst/m5Q15s555.tsp.ccpdp;12;1911.49;0;2850.81;1;0;0;2850.81;0;2850.81;0
../../../testInst/m5Q15s666.tsp.ccpdp;12;2368.97;0;3702.85;1;0;0;3702.85;0;3749.49;0
../../../testInst/m5Q15s777.tsp.ccpdp;12;3172.79;0;3396.92;1;0;0;3396.92;0;3396.92;0
